ticker,price,score,points,sma50,sma200,wk52_high,wk52_low,volume
NVDA,230.36,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",210.57,196.53,235.47,164.98,128899820.0
GOOGL,338.46,7,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",348.35,335.5,402.12,233.43,22245200.0
GOOG,335.31,7,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",346.31,334.34,398.54,233.55,15149400.0
AAPL,319.97,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",314.99,283.44,339.79,225.96,39653085.0
AMZN,258.51,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",253.95,239.12,284.02,198.79,32696725.0
AVGO,357.9,4,"[0, 0, 0, 1, 1, 1, 0, 0, 1, 0]",383.66,369.03,480.81,292.95,23452570.0
TSM,428.91,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",420.41,371.83,477.57,240.75,9236360.0
TSLA,354.08,2,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",357.95,399.56,489.88,298.32,37947370.0
WMT,107.14,4,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",110.67,118.15,133.88,99.57,27926790.0
LLY,1149.36,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",1190.35,1060.38,1280.34,710.11,2501155.0
MU,1016.59,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",938.26,606.34,1213.37,131.16,27700620.0
AMD,477.57,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",499.27,341.0,580.91,151.14,17504245.0
INTC,95.8,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",100.61,74.15,140.94,24.08,97868430.0
XOM,159.47,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",152.29,143.07,169.22,106.15,14045210.0
ASML,1714.88,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",1750.5,1476.98,1986.87,776.58,1159185.0
ORCL,158.78,4,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1]",139.75,167.92,324.63,114.99,22719525.0
JNJ,275.23,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",260.72,233.5,278.43,170.32,6283485.0
CAT,813.94,7,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",872.16,771.12,1062.93,414.36,2435230.0
CSCO,109.2,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",114.24,94.24,129.52,65.18,19547210.0
LRCX,307.65,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",321.88,260.68,433.33,102.38,7468385.0
CVX,208.6,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",189.96,178.23,211.78,142.76,7792980.0
AMAT,454.71,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",533.27,406.28,722.23,161.16,7440955.0
UNH,397.14,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",411.74,349.14,436.35,257.55,4094690.0
BABA,113.24,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",116.17,134.54,187.62,94.81,12886705.0
GE,337.12,7,"[0, 1, 1, 1, 1, 1, 0, 1, 1, 0]",357.17,320.81,381.22,272.91,3502735.0
HSBC,107.11,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",101.62,87.73,107.34,62.72,1026810.0
MS,217.72,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",215.02,189.28,227.3,144.81,3788060.0
AZN,162.7,4,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 1]",169.1,183.29,208.62,145.54,3257185.0
GEV,941.95,7,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",1015.4,885.57,1174.86,546.95,2023350.0
GS,1038.61,9,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1039.01,939.2,1146.46,723.97,1812310.0
MRK,150.33,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",134.59,117.44,156.45,75.83,10869365.0
NVS,159.99,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",155.62,148.09,163.64,118.2,1736840.0
TXN,258.44,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",279.32,237.48,330.59,150.79,5382945.0
RY,210.59,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",208.98,180.58,216.57,141.81,1338835.0
KLAC,185.6,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",205.59,171.17,301.37,90.02,9029810.0
RTX,200.79,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",207.21,191.81,225.49,149.53,4014425.0
SNDK,1740.0,9,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 1]",1550.25,1003.97,2335.0,68.55,13284545.0
