ticker,price,score,points,sma50,sma200,wk52_high,wk52_low,volume
NVDA,195.04,6,"[0, 0, 1, 1, 1, 1, 0, 1, 1, 0]",206.52,192.86,235.47,164.98,128029330.5
GOOGL,333.66,7,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",359.31,325.41,402.38,188.59,28977318.4
GOOG,333.68,7,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",357.21,324.65,398.8,189.41,19389228.35
AAPL,333.43,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",309.3,277.35,340.08,201.58,49844596.95
AMZN,235.5,6,"[0, 0, 1, 1, 1, 1, 0, 1, 1, 0]",246.38,234.75,274.99,198.79,40356862.6
AVGO,387.84,9,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",395.46,364.72,480.81,286.54,20820860.2
TSM,403.31,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",424.79,355.48,477.57,224.84,15396185.35
TSLA,308.85,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",392.62,412.22,489.88,298.32,42824808.95
WMT,111.1,5,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 1]",116.09,117.62,134.2,95.48,21358150.35
LLY,1154.97,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",1144.77,1021.04,1235.56,621.26,2372505.4
MU,874.66,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",962.26,514.78,1213.37,104.71,46780424.85
AMD,485.39,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",510.97,310.52,580.91,151.14,27885331.4
INTC,91.13,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",113.22,66.77,140.94,19.31,117200712.8
XOM,156.97,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",146.54,137.8,170.31,102.56,14255001.35
ASML,1651.44,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",1745.58,1384.55,1986.85,685.11,2068404.1
ORCL,127.56,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",165.51,182.82,324.63,114.99,38889577.6
JNJ,255.82,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",244.57,224.45,267.24,160.72,8090278.1
CAT,809.14,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",919.57,734.0,1062.93,404.15,3021567.85
CSCO,113.56,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",117.38,88.62,129.52,64.86,20752757.1
