ticker,price,score,points,sma50,sma200,wk52_high,wk52_low,volume
NVDA,217.56,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",207.12,195.01,235.47,164.98,118284918.45
GOOGL,344.72,9,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",352.47,332.16,402.38,198.75,29783585.65
GOOG,341.7,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",350.87,331.23,398.8,199.62,19967766.8
AAPL,316.83,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",309.21,280.61,339.79,224.07,53019436.05
AMZN,265.84,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",249.0,238.22,284.02,198.79,48730259.7
AVGO,362.48,5,"[0, 0, 0, 1, 1, 1, 0, 1, 1, 0]",389.04,368.27,480.81,287.49,19554872.25
TSM,412.09,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",424.51,364.09,477.57,224.84,12326792.15
TSLA,351.12,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",367.26,404.41,489.88,298.32,39434826.9
WMT,114.3,6,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 1]",114.24,118.21,134.2,95.48,21917965.65
LLY,1280.34,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1173.67,1045.98,1280.34,690.97,2754008.0
MU,937.1,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",962.27,563.53,1213.37,115.6,40866304.5
AMD,466.42,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",509.94,327.73,580.91,151.14,27749408.35
INTC,92.8,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",108.84,70.99,140.94,23.5,121590909.1
XOM,164.77,9,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",147.44,140.19,169.22,105.47,14270643.25
ASML,1751.73,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",1779.95,1435.75,1986.87,721.1,1579108.3
