ticker,price,score,points,sma50,sma200,wk52_high,wk52_low,volume
NVDA,190.01,5,"[0, 0, 0, 1, 1, 1, 0, 1, 1, 0]",207.06,192.8,235.47,164.98,128627629.65
GOOGL,336.71,7,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",360.57,324.93,402.38,188.59,28791433.95
GOOG,335.76,7,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",358.39,324.17,398.8,189.41,19509536.45
AAPL,338.19,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",308.59,276.91,340.08,201.58,49215819.25
AMZN,226.65,5,"[0, 0, 0, 1, 1, 1, 0, 1, 1, 0]",246.97,234.66,274.99,198.79,38861984.45
AVGO,370.32,7,"[0, 1, 1, 1, 1, 1, 0, 1, 1, 0]",396.1,364.4,480.81,286.54,20895680.35
TSM,374.67,7,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",424.62,354.85,477.57,224.84,15349867.45
TSLA,298.32,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",394.64,412.75,489.88,298.32,42966344.4
WMT,114.22,5,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 1]",116.54,117.57,134.2,95.48,22023920.2
LLY,1210.02,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1141.44,1019.41,1235.56,621.26,2357101.8
MU,739.0,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",958.4,511.32,1213.37,104.71,46242459.45
AMD,429.56,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",509.68,309.17,580.91,151.14,27504846.25
INTC,81.88,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",113.56,66.5,140.94,19.31,115882228.65
XOM,156.75,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",146.61,137.56,170.31,102.56,14290703.0
ASML,1550.69,6,"[0, 1, 1, 1, 1, 1, 0, 0, 1, 0]",1741.96,1380.94,,,2090401.95
ORCL,117.74,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",166.67,183.63,324.63,114.99,39296084.1
JNJ,265.53,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",244.0,224.11,267.24,160.72,8075373.9
CAT,782.71,6,"[0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",920.63,732.39,1062.93,404.15,3018157.55
CSCO,112.48,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",117.48,88.39,129.52,64.86,21307189.8
LRCX,252.35,6,"[0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",337.04,239.18,433.33,94.32,11871623.4
CVX,191.86,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",182.8,172.87,209.23,144.01,7698651.2
AMAT,436.45,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",539.77,370.05,723.0,155.56,9017076.05
UNH,420.57,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",408.21,340.8,436.35,231.57,5718649.05
BABA,115.03,3,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1]",114.29,140.37,187.62,94.81,12103947.0
GE,350.63,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",342.02,313.79,378.68,264.59,4006673.3
HSBC,102.6,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",95.75,83.03,103.97,58.43,1282649.9
MS,203.13,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",213.62,182.77,228.55,136.76,5767715.95
AZN,173.3,4,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",179.71,183.95,208.62,143.67,2912777.6
GEV,900.28,7,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",1025.65,832.2,1174.86,546.95,2972986.45
GS,980.75,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",1045.24,908.11,1152.07,695.57,1957178.25
MRK,130.36,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",121.87,109.92,131.82,75.59,8606357.65
NVS,158.83,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",152.26,143.84,163.64,110.15,1784211.6
TXN,271.3,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",299.12,224.27,332.28,151.57,8053209.7
RY,206.45,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",200.44,171.86,216.57,126.82,1493494.85
KLAC,170.19,6,"[0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",220.97,161.49,301.71,84.03,13394273.35
RTX,215.25,9,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",188.8,186.32,218.58,150.03,5176492.65
SNDK,1015.89,6,"[0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",1713.65,831.87,2335.0,40.69,15187339.4
QCOM,155.68,3,"[0, 0, 0, 1, 0, 1, 0, 0, 1, 0]",200.31,167.92,250.1,123.61,13457040.05
ARM,224.89,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",323.79,189.1,439.46,104.55,5888669.55
C,127.13,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",134.7,117.79,145.67,89.79,12933286.1
BHP,83.11,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",84.69,71.15,93.15,49.67,2440355.5
ADI,353.37,7,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",399.34,328.59,445.48,217.76,4010352.45
NVO,51.58,8,"[1, 1, 1, 1, 0, 0, 1, 1, 1, 1]",46.63,46.02,61.72,34.76,8864502.35
MUFG,21.94,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",20.6,17.86,23.1,13.78,3429051.5
TTE,86.75,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",84.08,76.28,93.6,55.92,1787234.0
NEE,88.46,8,"[1, 1, 1, 0, 1, 1, 0, 1, 1, 1]",87.29,86.79,97.17,68.33,10121961.75
BA,214.01,4,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",218.87,218.32,252.15,179.12,5554764.65
TD,116.99,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",116.86,98.18,124.8,71.5,3256826.6
SAN,13.38,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",13.13,11.8,14.37,8.3,9310376.3
RIO,93.66,7,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",98.01,87.99,112.04,56.5,2927616.35
ANET,157.97,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",165.22,145.6,186.96,116.13,7553764.85
STX,764.43,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",885.37,511.17,1093.26,146.06,5285064.2
DELL,369.64,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",391.7,210.99,465.19,110.54,6798566.8
PANW,314.15,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",301.87,213.13,358.68,141.67,6727560.95
WDC,462.04,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",557.99,327.49,746.23,71.24,7297068.4
GILD,132.73,7,"[1, 0, 1, 0, 1, 1, 0, 1, 1, 1]",129.39,130.35,153.91,107.48,6601768.75
GLW,124.05,5,"[0, 0, 0, 1, 1, 1, 1, 0, 1, 0]",184.05,134.45,255.69,61.38,14139695.4
BUD,84.87,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",81.36,71.53,85.09,56.26,1888178.95
APP,399.46,2,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",494.01,522.08,733.6,363.31,5625604.65
APH,150.31,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",152.23,141.36,176.32,103.6,6755630.85
DE,610.95,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",586.63,543.73,658.85,435.19,1093253.55
SCCO,175.47,8,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",180.53,166.9,215.55,85.21,1177609.15
WELL,241.08,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",223.19,202.59,252.07,160.13,2843040.6
MRVL,163.4,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",238.9,134.01,316.35,62.18,25454195.55
IBKR,86.26,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",90.09,75.72,97.41,59.96,4500533.0
COP,118.06,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",113.82,106.44,132.81,83.6,6193836.15
PLD,145.47,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",143.4,133.37,150.06,100.81,4236607.15
UBS,51.8,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",49.84,43.21,55.07,35.49,1862942.85
SMFG,24.96,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",24.23,20.82,26.5,15.07,1843005.1
CRWD,179.38,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",180.06,132.02,210.73,87.56,8649571.85
VRT,223.04,5,"[0, 0, 0, 1, 1, 1, 1, 0, 1, 0]",309.58,245.63,376.15,121.69,5458185.15
BTI,63.07,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",60.97,57.12,65.79,48.34,4049395.45
BBVA,25.66,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",24.3,22.28,26.59,14.8,1130067.2
NEM,91.34,4,"[0, 0, 0, 0, 1, 1, 1, 0, 1, 0]",99.28,103.83,131.38,61.45,7312763.95
PBR,18.59,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",17.89,16.02,21.86,11.39,15423788.8
PBR-A,16.45,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",16.0,14.7,19.73,10.67,6346369.75
SBUX,104.14,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",102.38,93.91,108.37,76.95,6596502.2
CVS,105.92,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",100.16,83.11,109.92,59.56,7379856.65
BMY,63.1,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",57.44,54.32,63.6,41.21,10307926.15
BP,43.32,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",41.4,39.06,47.09,30.13,8225934.75
PWR,561.14,6,"[0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",683.26,558.8,785.12,372.18,1019602.05
PH,951.07,8,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 0]",925.13,902.22,1020.71,691.12,537831.2
