ticker,price,score,points,sma50,sma200,wk52_high,wk52_low,volume
NVDA,212.06,9,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1]",209.59,192.5,235.47,164.98,135432182.55
GOOGL,342.09,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",367.39,322.88,402.38,188.59,32752435.8
GOOG,341.91,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",364.93,322.16,398.8,189.41,21829221.95
AAPL,325.89,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",304.89,274.96,333.74,201.58,64945815.2
AMZN,244.85,8,"[0, 1, 1, 1, 1, 1, 0, 1, 1, 1]",250.6,234.46,274.99,198.79,55724068.25
AVGO,396.81,9,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",400.45,363.31,480.81,281.63,23280551.0
TSM,421.21,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",425.3,352.34,477.57,224.84,15007016.5
TSLA,374.01,2,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",407.47,415.96,489.88,302.63,38801638.0
WMT,109.33,4,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",118.47,117.34,134.2,94.89,22719089.95
LLY,1163.01,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1120.78,1010.41,1235.56,621.26,2895498.35
MU,959.48,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",948.29,494.23,1213.37,104.71,50344918.4
AMD,552.33,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",505.39,302.21,580.91,151.14,28162378.55
INTC,102.62,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",116.42,65.16,140.94,19.31,105520393.55
XOM,154.45,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",146.21,136.45,170.31,102.56,15478912.1
ASML,1801.86,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1732.26,1366.07,1989.44,686.0,2102463.5
ORCL,125.84,2,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",173.93,187.83,324.63,121.38,39679230.3
JNJ,255.63,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",240.13,222.15,267.24,160.72,8609381.5
CAT,889.31,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",925.86,723.29,1062.93,404.15,3607662.2
CSCO,112.21,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",116.72,87.25,129.52,64.86,23945433.2
LRCX,319.29,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",337.54,235.57,433.33,94.32,12690826.2
CVX,192.98,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",182.14,171.8,209.23,144.01,8808554.8
AMAT,553.92,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",532.92,362.84,723.0,155.56,11332080.4
UNH,431.31,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",405.26,339.16,436.35,231.57,6171974.85
BABA,116.56,2,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",116.57,142.03,187.62,94.81,14442544.25
GE,341.19,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",335.73,312.36,378.68,261.85,4776538.5
HSBC,103.11,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",94.41,82.15,103.11,58.43,1315907.0
MS,218.5,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",211.72,181.32,228.55,136.76,6088630.4
AZN,169.73,4,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",181.06,183.91,208.62,141.2,2735070.35
GEV,985.03,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",1034.82,823.05,1174.86,546.95,2888019.05
GS,1098.2,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1036.13,901.5,1152.07,695.57,2068292.3
MRK,127.47,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",119.94,108.79,129.56,75.59,9998039.0
NVS,153.08,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",151.36,143.11,163.64,110.15,2315042.75
TXN,294.19,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",301.47,221.71,332.28,151.57,9098343.4
RY,211.45,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",198.85,171.27,217.87,127.59,1598325.5
KLAC,214.69,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",219.49,159.23,301.71,84.03,13780210.2
RTX,194.88,8,"[1, 1, 1, 0, 1, 1, 0, 1, 1, 1]",184.89,185.08,211.28,150.03,4360296.15
SNDK,1599.27,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",1729.65,802.84,2335.0,40.69,13516718.75
QCOM,175.63,6,"[0, 1, 1, 1, 0, 1, 1, 0, 1, 0]",204.95,167.91,250.1,123.61,17175243.4
ARM,283.4,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",319.79,186.74,439.46,104.55,6458418.65
C,132.25,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",134.06,116.9,145.67,89.79,13913156.4
BHP,84.54,9,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",85.12,70.43,93.15,49.67,2414311.25
