ticker,price,score,points,sma50,sma200,wk52_high,wk52_low,volume
INN,5.68,9,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",4.79,4.86,5.7,3.97,785130.45
PKE,36.41,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",31.66,23.78,36.41,13.25,188273.45
STRO,27.38,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",30.41,16.41,40.91,6.8,324714.4
TLRY,5.45,2,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",6.29,9.69,21.0,3.6,3964729.8
SHBI,20.47,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",19.11,17.7,20.47,14.09,178720.55
EVC,8.75,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",4.74,3.17,9.84,1.83,5312089.9
ZVRA,10.32,8,"[1, 1, 1, 1, 0, 0, 1, 1, 1, 1]",10.06,9.39,12.79,7.23,1687546.55
CARS,9.74,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",9.77,11.19,13.79,7.58,865994.4
CLYM,11.39,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",8.88,4.74,12.22,1.17,966958.35
CWBC,24.01,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",23.43,22.32,25.28,17.2,214231.55
RMR,20.19,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",17.17,15.55,20.23,13.27,190917.5
SPIR,23.75,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",16.95,11.7,23.75,7.02,1551504.0
SWBI,15.24,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",14.82,11.11,15.57,7.47,431485.75
ARVN,8.92,4,"[0, 0, 0, 0, 1, 1, 1, 0, 1, 0]",10.4,10.62,13.83,6.24,989325.65
AVR,9.08,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",6.24,5.25,9.62,2.9,1088178.5
NKLR,6.25,5,"[1, 1, 0, 1, 0, 0, 1, 0, 1, 0]",5.55,6.25,18.26,3.91,435664.6
VTEX,3.58,2,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",3.87,3.89,6.76,2.87,1416767.55
MRAM,32.7,9,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 1]",17.68,11.57,44.01,5.52,7066079.3
CABA,3.72,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3.22,2.61,4.15,1.33,5152485.25
KE,25.59,5,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",25.37,27.47,33.13,18.1,159777.85
CNNE,14.33,5,"[1, 1, 0, 0, 0, 0, 1, 0, 1, 1]",12.67,15.25,21.26,10.64,485608.8
PSNL,8.94,9,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",6.58,7.57,11.25,4.41,2669717.2
CCSI,29.64,9,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",26.89,25.89,34.0,19.66,174477.7
ANGX,2.76,3,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1]",2.85,2.76,16.0,2.18,1447530.75
NPCE,16.68,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",15.48,13.67,19.29,8.25,221469.25
RGR,40.21,7,"[0, 1, 1, 1, 0, 1, 1, 1, 1, 0]",40.7,37.86,46.84,28.67,133154.3
TDUP,4.36,4,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1]",4.01,6.76,12.08,3.11,2748484.55
SXC,8.87,7,"[1, 1, 1, 0, 0, 0, 1, 1, 1, 1]",6.73,7.04,8.87,5.58,1742797.1
DNUT,3.37,3,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0]",3.51,3.62,4.7,2.57,2454858.2
BCAL,19.19,9,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",18.35,17.98,19.91,14.06,170396.3
PHR,8.95,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",9.61,17.38,32.55,8.06,1297587.05
RYAM,8.91,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",9.82,7.72,11.75,3.63,1013065.6
FEIM,68.56,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",53.27,43.68,68.56,18.26,172813.7
NPB,17.61,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",17.59,17.36,19.19,12.82,127650.65
TRON,2.18,5,"[0, 1, 0, 1, 0, 0, 1, 0, 1, 1]",2.19,2.4,11.04,0.56,783085.1
CADL,7.95,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",6.34,5.68,8.94,4.42,2211317.25
DCBO,17.37,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",18.02,22.49,32.2,14.7,224881.05
BWMN,32.61,4,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1]",30.91,35.71,44.43,24.81,133067.5
FET,56.49,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",58.6,41.28,64.54,14.69,163938.55
CLB,14.54,4,"[0, 0, 0, 0, 1, 1, 1, 0, 1, 0]",15.57,15.27,19.64,9.72,570825.35
GPRK,9.97,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",9.42,7.85,10.37,5.93,552622.55
ORN,14.38,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",12.56,10.64,15.48,6.57,440309.15
HPP,11.66,5,"[1, 1, 0, 0, 0, 0, 1, 0, 1, 1]",8.22,12.36,21.49,5.51,1273993.5
CSTL,19.69,4,"[0, 0, 0, 0, 1, 1, 1, 0, 1, 0]",23.34,28.71,43.04,14.65,520174.25
CTKB,3.97,4,"[0, 0, 0, 0, 1, 1, 1, 0, 1, 0]",4.38,4.48,5.88,2.49,1042574.35
GLRE,16.75,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",17.72,14.45,19.0,11.95,201259.85
ALOY,10.55,8,"[1, 1, 1, 0, 1, 1, 1, 0, 1, 1]",10.11,9.57,25.88,3.76,1593848.15
RR,3.17,5,"[1, 0, 0, 0, 0, 1, 1, 0, 1, 1]",2.38,3.4,7.06,1.73,13435249.6
BTBT,1.99,4,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1]",1.62,2.33,4.22,1.26,27720858.7
MSBI,28.14,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",24.29,20.1,28.14,13.98,151873.95
NFBK,14.29,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",13.71,12.05,14.29,9.8,214110.15
UROY,3.5,4,"[0, 0, 0, 0, 1, 1, 1, 0, 1, 0]",3.68,3.82,5.46,2.17,2490860.05
CARE,27.35,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",24.16,20.61,27.44,16.18,320288.7
EGY,5.52,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",5.98,4.49,6.6,2.99,1342778.0
GDYN,7.0,4,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1]",6.05,7.63,13.04,5.28,2581433.3
ALTI,3.13,2,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",3.63,4.06,5.19,3.13,193613.25
PRME,2.97,2,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",3.44,3.98,6.67,1.18,2405693.35
TCMD,25.06,8,"[1, 0, 1, 0, 1, 1, 1, 1, 1, 1]",24.92,22.9,33.05,9.52,407035.3
MLAB,106.17,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",95.86,81.79,112.35,57.09,147540.15
FTK,19.78,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",17.09,15.87,20.53,11.04,279640.65
AVTX,16.02,7,"[1, 0, 1, 0, 1, 1, 1, 0, 1, 1]",15.6,15.13,22.87,3.59,2849557.25
DDI,11.88,9,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",9.85,9.24,12.25,8.15,255875.15
HELE,26.66,9,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",19.85,20.36,33.25,13.88,681109.8
BETR,26.47,4,"[0, 0, 0, 0, 1, 1, 1, 0, 1, 0]",34.54,39.15,86.07,11.16,591919.0
KYTX,8.61,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",9.05,7.48,11.25,2.55,884350.95
PRTA,10.06,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",10.05,9.58,11.51,4.58,549046.1
PROK,1.69,2,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",1.87,2.3,5.18,0.56,776691.75
CHW,8.82,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",7.98,7.47,8.9,6.23,200514.5
MG,18.21,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",16.82,13.1,19.28,7.29,192131.55
INV,6.38,8,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0]",5.43,4.52,7.32,2.55,2369296.55
KRT,26.46,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",27.81,24.23,30.14,19.92,105098.85
DDL,2.6,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2.59,2.38,3.2,1.67,393863.6
MEC,26.65,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",21.26,18.0,27.26,12.56,443062.7
PACK,6.66,9,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",4.57,5.01,6.66,3.24,887398.15
WTI,4.07,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3.61,2.4,4.9,1.43,6753863.1
DNA,8.69,4,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1]",7.67,9.69,16.14,5.48,1323130.05
TECX,29.99,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",29.35,22.59,35.87,14.71,237099.1
CPS,30.06,4,"[1, 0, 0, 0, 0, 1, 1, 0, 1, 0]",29.51,32.76,45.2,19.88,197406.1
