ticker,price,score,points,sma50,sma200,wk52_high,wk52_low,volume
INN,6.51,9,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",5.33,4.93,6.51,3.97,2019353.75
PKE,32.07,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",33.49,24.96,36.41,13.25,323293.5
STRO,28.17,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",31.7,17.84,40.91,6.8,325853.1
TLRY,4.88,2,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",5.88,9.22,21.0,3.6,3483152.3
SHBI,22.17,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",19.92,17.99,22.81,14.0,207144.25
EVC,9.14,8,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",6.59,3.68,,,2591906.4
ZVRA,12.65,9,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",10.83,9.55,13.66,7.23,2229816.3
CARS,10.13,3,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 1]",10.23,10.96,13.79,7.58,819419.35
CLYM,10.71,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10.16,5.41,12.22,1.18,1170517.5
CWBC,25.41,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",24.03,22.66,25.75,17.63,348755.6
RMR,20.51,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",18.72,15.94,21.37,13.34,140834.7
SPIR,17.15,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",19.01,12.47,25.48,7.02,1538522.0
SWBI,13.88,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",14.94,11.64,15.57,7.47,582637.8
ARVN,7.42,3,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0]",9.46,10.66,13.83,6.24,782866.2
AVR,9.27,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",7.34,5.66,9.65,2.9,1369922.5
NKLR,5.0,3,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0]",5.88,5.0,18.26,3.91,323599.35
VTEX,3.63,3,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1]",3.81,3.86,6.76,2.87,1376570.5
MRAM,26.16,8,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 0]",22.97,13.11,44.01,5.94,3554715.5
CABA,2.8,6,"[0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",3.37,2.74,4.15,1.33,3479446.55
KE,25.41,5,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",25.88,27.47,33.13,18.26,166301.6
CNNE,14.04,4,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 1]",13.63,14.99,,,405678.7
PSNL,9.69,9,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",7.6,8.0,12.1,4.41,3101397.1
CCSI,34.72,9,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",29.31,26.5,35.51,19.66,165062.8
ANGX,3.16,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 1]",2.75,3.16,16.0,2.18,1143263.55
