ticker,price,score,points,sma50,sma200,wk52_high,wk52_low,volume
TCBI,101.51,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",99.97,93.53,105.77,74.71,469944.2
TPC,74.92,7,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",80.56,72.33,97.23,41.79,479512.3
ENVA,189.33,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",163.73,143.2,189.59,93.32,232681.0
PLUG,2.76,6,"[0, 1, 1, 1, 0, 1, 1, 0, 1, 0]",3.26,2.55,4.14,1.09,73399409.55
HNGE,65.34,9,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",50.53,47.62,65.34,31.17,1677071.85
WHD,59.1,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",56.27,48.39,62.59,33.12,706602.1
PTEN,11.49,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",11.36,7.96,12.74,5.0,8154211.15
SMR,9.89,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",11.47,21.23,53.43,9.16,35222084.05
CMBT,15.5,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",13.86,11.15,16.55,7.49,1901381.05
CNO,50.36,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",45.27,41.76,50.36,34.91,727071.25
BETA,16.23,2,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",16.8,16.23,36.8,13.59,1721819.0
CNR,92.17,9,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",89.53,88.15,113.11,64.95,662765.35
BLLN,101.12,6,"[1, 1, 0, 0, 0, 0, 1, 1, 1, 1]",87.72,101.12,130.18,64.03,751269.6
ZETA,20.21,8,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1]",18.49,18.73,25.25,12.16,9798614.3
NVTS,23.39,9,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 1]",18.96,11.42,31.79,5.54,36882176.25
FHI,58.25,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",56.02,53.03,58.25,40.92,750211.15
COLD,14.46,8,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0]",13.55,12.48,16.2,9.75,4628137.85
LMND,57.49,5,"[0, 0, 0, 0, 1, 1, 1, 0, 1, 1]",58.25,63.93,96.57,36.28,1511253.85
AMRX,16.2,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",13.05,12.25,16.34,7.75,1823746.3
LPL,4.65,7,"[0, 1, 1, 1, 0, 1, 1, 1, 1, 0]",4.68,4.53,5.76,3.31,2003500.65
TREX,45.63,7,"[1, 1, 1, 1, 0, 0, 1, 0, 1, 1]",40.19,42.34,68.49,30.13,1902847.1
DOO,60.28,5,"[1, 0, 0, 0, 1, 1, 0, 0, 1, 1]",59.83,66.81,81.45,46.48,298625.75
MTRN,247.26,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",196.28,147.24,247.26,76.5,324584.05
XMTR,86.99,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",67.62,57.56,95.32,30.16,957117.6
NP,27.4,6,"[1, 1, 0, 1, 0, 0, 1, 1, 1, 0]",26.73,27.4,30.68,17.14,847029.65
LASR,69.66,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",70.96,48.78,84.95,17.4,1099964.0
CAAP,26.43,9,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",25.52,24.31,30.35,17.49,193907.15
