ticker,price,score,points,sma50,sma200,wk52_high,wk52_low,volume
INN,6.71,9,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",5.53,4.97,6.71,3.97,2194954.85
PKE,31.74,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",33.63,25.3,36.41,13.46,436801.55
STRO,30.03,8,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 1]",32.05,18.34,40.91,6.8,270920.85
TLRY,4.59,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",5.68,9.03,21.0,3.9,3662529.15
SHBI,22.68,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",20.2,18.12,22.81,14.75,215625.9
EVC,11.21,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",7.26,3.86,11.21,1.91,2112468.45
ZVRA,13.08,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",11.15,9.65,13.66,7.23,2107846.15
CARS,10.32,4,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1]",10.28,10.88,13.79,7.58,793141.35
CLYM,12.75,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10.58,5.66,12.75,1.18,1340813.0
CWBC,26.87,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",24.23,22.78,26.87,18.3,477556.6
RMR,20.72,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",19.19,16.07,21.37,13.34,145087.7
SPIR,17.13,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",18.81,12.69,25.48,7.02,1654770.55
SWBI,16.12,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",15.05,11.83,16.67,7.47,1053139.95
ARVN,8.05,3,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0]",9.14,10.67,13.83,6.24,741877.55
AVR,10.4,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",7.77,5.8,10.4,2.9,1234057.05
NKLR,4.65,3,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0]",5.91,4.65,18.26,3.91,309383.4
VTEX,3.68,3,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1]",3.76,3.85,6.76,2.87,1728846.15
MRAM,21.4,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",24.4,13.56,44.01,5.94,2824347.15
CABA,3.03,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",3.35,2.78,4.15,1.33,4513335.25
KE,24.43,2,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",25.86,27.37,33.13,18.26,193907.65
CNNE,13.99,4,"[1, 1, 0, 0, 0, 0, 1, 0, 1, 0]",13.63,14.72,21.04,10.53,476605.85
PSNL,11.36,9,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",8.02,8.14,12.1,4.41,3288634.45
CCSI,35.2,9,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",30.26,26.69,35.51,19.66,159411.5
ANGX,3.16,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 1]",2.81,3.16,16.0,2.18,1069276.2
NPCE,16.22,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",16.32,14.37,19.29,8.25,149084.45
RGR,38.55,7,"[0, 1, 1, 1, 0, 1, 1, 1, 1, 0]",40.19,38.35,46.84,28.67,135672.9
TDUP,6.54,6,"[1, 1, 1, 0, 0, 0, 1, 0, 1, 1]",4.67,6.18,12.08,3.11,2003785.45
SXC,8.15,8,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0]",7.85,7.22,9.6,5.58,1572288.3
DNUT,3.73,9,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",3.61,3.64,4.7,2.57,2837170.95
BCAL,20.62,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",18.95,18.22,20.62,14.37,209082.4
PHR,9.59,3,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1]",9.35,15.38,32.55,8.06,1603790.4
RYAM,7.99,5,"[0, 0, 0, 1, 1, 1, 1, 0, 1, 0]",9.04,8.05,11.75,3.63,1003812.8
FEIM,67.27,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",62.72,47.75,77.15,19.1,180517.25
NPB,18.56,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",17.72,17.44,19.19,13.42,138006.4
TRON,1.43,2,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",2.02,2.04,11.0,1.13,670639.45
CADL,9.27,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",7.78,5.95,9.27,4.42,2048223.95
DCBO,17.14,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",18.0,21.16,32.2,14.7,111264.3
BWMN,29.05,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",31.85,34.82,44.43,26.69,118844.85
FET,48.56,7,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",55.59,43.99,64.54,18.16,183825.55
CLB,10.72,3,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0]",14.14,15.47,19.64,9.72,661650.25
GPRK,9.24,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",9.91,8.26,11.78,5.93,698484.45
ORN,15.97,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",13.97,11.39,15.97,6.57,383808.55
HPP,14.38,7,"[1, 1, 1, 1, 0, 0, 1, 0, 1, 1]",11.45,11.87,21.49,5.51,1223044.35
CSTL,22.12,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 1]",21.82,28.68,43.04,14.65,351869.4
CTKB,4.28,6,"[1, 0, 0, 0, 1, 1, 1, 0, 1, 1]",4.21,4.48,5.88,3.1,2179649.15
GLRE,16.52,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",17.11,14.73,19.0,11.95,155934.7
ALOY,16.67,9,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 1]",11.43,10.33,25.88,5.68,3099277.95
RR,1.91,2,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",2.53,3.4,7.06,1.73,11861590.4
BTBT,1.93,4,"[1, 1, 0, 0, 0, 0, 1, 0, 1, 0]",1.81,2.25,4.22,1.26,28491945.3
MSBI,30.19,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",26.99,21.27,30.2,13.98,145425.25
NFBK,14.58,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",14.12,12.38,14.78,9.8,330685.85
UROY,2.78,2,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",3.54,3.85,5.46,2.3,3059148.0
CARE,32.5,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",27.02,21.66,32.5,16.88,368002.5
EGY,5.04,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",5.74,4.66,6.6,3.29,1319107.8
GDYN,5.41,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",6.35,7.49,12.39,5.28,2172636.15
ALTI,3.18,3,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1]",3.4,3.93,5.19,2.81,215583.95
PRME,3.12,2,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",3.29,3.95,6.67,2.42,3119898.85
TCMD,27.49,9,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",24.89,24.18,33.05,9.52,219442.85
MLAB,94.45,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",101.75,85.18,109.13,57.01,256628.15
FTK,21.74,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",19.69,16.94,24.82,11.04,339755.45
AVTX,18.16,9,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",15.68,15.67,22.87,4.75,1681371.05
DDI,11.0,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",11.02,9.45,12.25,8.25,119490.35
HELE,27.92,9,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",24.49,20.65,33.25,13.88,525065.8
BETR,26.19,3,"[0, 0, 0, 0, 0, 1, 1, 0, 1, 0]",32.13,39.96,86.07,12.12,313743.4
KYTX,8.62,9,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",8.86,7.93,11.25,2.55,760786.25
PRTA,9.4,5,"[0, 0, 0, 1, 0, 1, 1, 1, 1, 0]",9.82,9.65,11.51,5.99,546409.5
PROK,1.77,3,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 1]",1.82,2.23,5.18,0.56,915261.2
CHW,8.73,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",8.54,7.63,9.1,6.45,228824.2
MG,18.86,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",18.04,13.98,19.28,7.83,176337.15
INV,5.2,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",6.18,4.65,7.32,2.55,2510133.15
KRT,30.66,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",28.25,24.72,30.66,19.92,100757.6
DDL,2.05,3,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0]",2.5,2.4,3.2,1.67,600568.4
MEC,34.39,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",27.11,19.85,35.68,12.56,662903.95
PACK,7.64,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",5.99,5.25,7.64,3.24,538600.1
WTI,3.13,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",3.85,2.6,4.9,1.49,5239427.05
DNA,9.73,7,"[1, 1, 1, 1, 0, 0, 1, 0, 1, 1]",8.49,9.35,16.14,5.48,1306370.75
TECX,30.72,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",28.98,23.27,35.87,14.71,137996.3
CPS,28.06,2,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",29.64,32.45,45.2,20.06,140509.3
ASIX,19.77,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",22.33,19.39,25.98,14.04,203390.55
RGNX,9.97,4,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1]",8.0,10.34,15.98,5.65,2125866.65
CLFD,36.96,6,"[0, 1, 1, 1, 0, 1, 1, 0, 1, 0]",38.09,33.04,51.26,26.0,334347.3
ILPT,8.7,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",7.99,6.22,9.01,4.34,687737.25
CTNM,12.82,7,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",12.99,12.52,16.0,3.73,235295.05
FFIC,15.49,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",15.71,14.8,17.11,10.88,338287.4
MCS,23.4,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",19.46,16.46,23.86,12.87,226608.25
ASTL,3.99,4,"[0, 0, 0, 1, 1, 1, 0, 0, 1, 0]",4.91,4.38,7.11,3.19,1087410.3
AURA,7.04,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",7.24,6.26,8.9,4.97,539006.85
AQST,4.99,7,"[1, 1, 1, 0, 0, 1, 1, 0, 1, 1]",4.21,4.89,7.49,2.95,1728355.55
MAMA,19.24,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",14.76,13.49,19.24,7.98,586467.0
LZM,4.03,3,"[0, 0, 0, 1, 0, 1, 0, 0, 1, 0]",4.87,4.66,6.1,3.19,669903.1
ACHV,5.3,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",4.89,4.36,5.99,2.07,1896459.55
SD,13.74,5,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 0]",14.76,14.14,17.58,9.54,339341.4
MNRO,15.71,2,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",16.14,17.57,23.1,12.29,1600620.65
OOMA,18.49,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",17.48,13.5,19.5,10.58,401096.55
ANL,10.99,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",12.58,6.23,16.6,0.88,114734.9
IMMX,10.04,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",9.24,6.41,11.12,1.96,1674298.4
